date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:40	57654/57654	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e136-ppFLVfsImDkhRKQGmGrAD36fhGA%22	https://unpkg.com/flickity@2.3.0/dist/flickity.pkgd.min.js	C:/My%20Web%20Sites/ido1/unpkg.com/flickity@2.3.0/dist/flickity.pkgd.min.js	(from https://idoportal.com/)
18:54:41	19459/19459	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Sep%202021%2015:18:36%20GMT	https://idoportal.com/site/templates/fonts/dBk.eot	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBk.eot	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:41	19459/19459	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Sep%202021%2015:18:36%20GMT	https://idoportal.com/site/templates/fonts/dBk.eot?	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBkd41d.eot	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:42	16964/16964	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Sep%202021%2015:18:38%20GMT	https://idoportal.com/site/templates/fonts/dBk.woff2	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBk.woff2	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:42	21852/21852	---M--	200	added ('OK')	font/woff	date:Sat,%2025%20Sep%202021%2015:18:38%20GMT	https://idoportal.com/site/templates/fonts/dBk.woff	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBk.woff	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:43	42680/42680	---M--	200	added ('OK')	font/ttf	date:Sat,%2025%20Sep%202021%2015:18:37%20GMT	https://idoportal.com/site/templates/fonts/dBk.ttf	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBk.ttf	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:43	62908/62908	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2015:18:37%20GMT	https://idoportal.com/site/templates/fonts/dBk.svg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBk.svg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:43	31694/31694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Sep%202021%2015:18:39%20GMT	https://idoportal.com/site/templates/fonts/dBold.eot	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBold.eot	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:44	45216/45216	---M--	200	added ('OK')	font/otf	date:Sat,%2025%20Sep%202021%2015:18:36%20GMT	https://idoportal.com/site/templates/fonts/dBk.otf	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBk.otf	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:44	31694/31694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Sep%202021%2015:18:39%20GMT	https://idoportal.com/site/templates/fonts/dBold.eot?	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBoldd41d.eot	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:44	12448/12448	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Sep%202021%2015:18:41%20GMT	https://idoportal.com/site/templates/fonts/dBold.woff2	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBold.woff2	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:45	16956/16956	---M--	200	added ('OK')	font/woff	date:Sat,%2025%20Sep%202021%2015:18:41%20GMT	https://idoportal.com/site/templates/fonts/dBold.woff	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBold.woff	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:45	31380/31380	---M--	200	added ('OK')	font/ttf	date:Sat,%2025%20Sep%202021%2015:18:40%20GMT	https://idoportal.com/site/templates/fonts/dBold.ttf	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBold.ttf	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:45	32756/32756	---M--	200	added ('OK')	font/otf	date:Sat,%2025%20Sep%202021%2015:18:39%20GMT	https://idoportal.com/site/templates/fonts/dBold.otf	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBold.otf	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:46	16787/16787	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2015:18:46%20GMT	https://idoportal.com/site/templates/images/bg-grunge.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-grunge.png	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:46	84744/84744	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2015:18:40%20GMT	https://idoportal.com/site/templates/fonts/dBold.svg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/fonts/dBold.svg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:46	62103/62103	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2015:18:59%20GMT	https://idoportal.com/site/templates/images/logo.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/logo.png	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:47	8204/8204	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2015:19:01%20GMT	https://idoportal.com/site/templates/images/separator_grey.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/separator_grey.png	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:48	35683/35683	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:44%20GMT	https://idoportal.com/site/templates/images/bg-concrete.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-concrete.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:49	34649/34649	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:54%20GMT	https://idoportal.com/site/templates/images/bg-ido3.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-ido3.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:50	148588/148588	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2015:18:53%20GMT	https://idoportal.com/site/templates/images/bg-ido2.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-ido2.png	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:50	171063/171063	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:52%20GMT	https://idoportal.com/site/templates/images/bg-ido.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-ido.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:50	219092/219092	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:52%20GMT	https://idoportal.com/site/templates/images/bg-ido-mobile.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-ido-mobile.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:52	117232/117232	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:46%20GMT	https://idoportal.com/site/templates/images/bg-culture.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-culture.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:52	175466/175466	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:45%20GMT	https://idoportal.com/site/templates/images/bg-contact.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-contact.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:52	225762/225762	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:54%20GMT	https://idoportal.com/site/templates/images/bg-tribe.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-tribe.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:53	291313/291313	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:47%20GMT	https://idoportal.com/site/templates/images/bg-home-1.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-home-1.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
